"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","Nitrate+Nitrite as Nitrogen",2019-06-11 09:15:00,"NO3NO2N","T",0.163,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","Nitrogen",2019-06-11 09:15:00,"KN","T",0.16,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","Nitrogen, ammonia (As N)",2019-06-11 09:15:00,"7664-41-7","T",0.0141,"mg/l",0.0036,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-11 09:15:00,"KN","T",0.97,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","NITROGEN, NITRATE (AS N)",2019-06-11 09:15:00,"14797-55-8","T",0.163,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","NITROGEN, NITRITE",2019-06-11 09:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-11 09:15:00,"PDORTHO","D",0.0284,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06112019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-11 09:15:00,"7723-14-0","T",0.178,"mg/l",0.018,"mg/l",0.025,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","Chlorophyll A",2019-06-18 11:30:00,"479-61-8","T",1.76,"ug/l",NA,"ug/l",0.07,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","Nitrate+Nitrite as Nitrogen",2019-06-18 11:30:00,"NO3NO2N","T",0.396,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","Nitrogen",2019-06-18 11:30:00,"KN","T",0.4,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","Nitrogen, ammonia (As N)",2019-06-18 11:30:00,"7664-41-7","T",NA,"mg/l",0.036,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-18 11:30:00,"KN","T",0.54,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","NITROGEN, NITRATE (AS N)",2019-06-18 11:30:00,"14797-55-8","T",0.382,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","NITROGEN, NITRITE",2019-06-18 11:30:00,"14797-65-0","T",0.013,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-18 11:30:00,"PDORTHO","D",0.013,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-06182019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-18 11:30:00,"7723-14-0","T",0.0544,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","Chlorophyll A",2019-07-02 12:30:00,"479-61-8","T",1.16,"ug/l",NA,"ug/l",0.081,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","Nitrate+Nitrite as Nitrogen",2019-07-02 12:30:00,"NO3NO2N","T",0.519,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","Nitrogen",2019-07-02 12:30:00,"KN","T",0.52,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","Nitrogen, ammonia (As N)",2019-07-02 12:30:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","NITROGEN, KJELDAHL, TOTAL",2019-07-02 12:30:00,"KN","T",0.49,"mg/l",0.1,"mg/l",0.1,"","T",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","NITROGEN, NITRATE (AS N)",2019-07-02 12:30:00,"14797-55-8","T",0.519,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","NITROGEN, NITRITE",2019-07-02 12:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","Orthophosphate as Phosphorus, Dissolved",2019-07-02 12:30:00,"PDORTHO","D",0.0182,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07022019-W","PHOSPHORUS, TOTAL (AS P)",2019-07-02 12:30:00,"7723-14-0","T",0.0469,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","Chlorophyll A",2019-07-16 11:30:00,"479-61-8","T",2.9,"ug/l",NA,"ug/l",0.22,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","Nitrate+Nitrite as Nitrogen",2019-07-16 11:30:00,"NO3NO2N","T",0.529,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","Nitrogen",2019-07-16 11:30:00,"KN","T",0.53,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","Nitrogen, ammonia (As N)",2019-07-16 11:30:00,"7664-41-7","T",0.813,"mg/l",0.036,"mg/l",0.05,"","R","Accuracy error ; Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","NITROGEN, KJELDAHL, TOTAL",2019-07-16 11:30:00,"KN","T",0.36,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","NITROGEN, NITRATE (AS N)",2019-07-16 11:30:00,"14797-55-8","T",0.529,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","NITROGEN, NITRITE",2019-07-16 11:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","Orthophosphate as Phosphorus, Dissolved",2019-07-16 11:30:00,"PDORTHO","D",0.0182,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07162019-W","PHOSPHORUS, TOTAL (AS P)",2019-07-16 11:30:00,"7723-14-0","T",0.0413,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","Chlorophyll A",2019-07-30 12:00:00,"479-61-8","T",1.76,"ug/l",NA,"ug/l",0.16,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","Nitrate+Nitrite as Nitrogen",2019-07-30 12:00:00,"NO3NO2N","T",0.532,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","Nitrogen",2019-07-30 12:00:00,"KN","T",0.53,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","Nitrogen, ammonia (As N)",2019-07-30 12:00:00,"7664-41-7","T",0.021,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","NITROGEN, KJELDAHL, TOTAL",2019-07-30 12:00:00,"KN","T",0.28,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","NITROGEN, NITRATE (AS N)",2019-07-30 12:00:00,"14797-55-8","T",0.532,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","NITROGEN, NITRITE",2019-07-30 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","Orthophosphate as Phosphorus, Dissolved",2019-07-30 12:00:00,"PDORTHO","D",0.0215,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-07302019-W","PHOSPHORUS, TOTAL (AS P)",2019-07-30 12:00:00,"7723-14-0","T",0.035,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","Chlorophyll A",2019-08-13 12:00:00,"479-61-8","T",3.2,"ug/l",NA,"ug/l",0.18,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","Nitrate+Nitrite as Nitrogen",2019-08-13 12:00:00,"NO3NO2N","T",0.467,"mg/l",0.0015,"mg/l",0.002,"","R","Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","Nitrogen",2019-08-13 12:00:00,"7727-37-9","T",0.47,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","Nitrogen, ammonia (As N)",2019-08-13 12:00:00,"7664-41-7","T",0.016,"mg/l",0.003,"mg/l",0.01,"","R","Accuracy error ; Precision error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-13 12:00:00,"KN","T",0.64,"mg/l",0.1,"mg/l",0.1,"","R","Accuracy error ; Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","NITROGEN, NITRATE (AS N)",2019-08-13 12:00:00,"14797-55-8","T",0.467,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","NITROGEN, NITRITE",2019-08-13 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-13 12:00:00,"PDORTHO","D",0.0154,"mg/l",0.0049,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08132019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-13 12:00:00,"7723-14-0","T",0.0374,"mg/l",0.0036,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","Chlorophyll A",2019-08-27 11:15:00,"479-61-8","T",0.924,"ug/l",NA,"ug/l",0.093,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","Nitrate+Nitrite as Nitrogen",2019-08-27 11:15:00,"NO3NO2N","T",0.544,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","Nitrogen",2019-08-27 11:15:00,"7727-37-9","T",0.54,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","Nitrogen, ammonia (As N)",2019-08-27 11:15:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-27 11:15:00,"KN","T",0.35,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","NITROGEN, NITRATE (AS N)",2019-08-27 11:15:00,"14797-55-8","T",0.544,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","NITROGEN, NITRITE",2019-08-27 11:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Holding Time error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-27 11:15:00,"PDORTHO","D",0.0181,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-08272019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-27 11:15:00,"7723-14-0","T",0.0354,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","Chlorophyll A",2019-09-09 11:45:00,"479-61-8","T",1.05,"ug/l",NA,"ug/l",0.049,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","Nitrate+Nitrite as Nitrogen",2019-09-09 11:45:00,"NO3NO2N","T",0.506,"mg/l",0.0015,"mg/l",0.002,"","R","Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","Nitrogen",2019-09-09 11:45:00,"7727-37-9","T",0.51,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","Nitrogen, ammonia (As N)",2019-09-09 11:45:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-09 11:45:00,"KN","T",0.88,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","NITROGEN, NITRATE (AS N)",2019-09-09 11:45:00,"14797-55-8","T",0.506,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","NITROGEN, NITRITE",2019-09-09 11:45:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-09 11:45:00,"PDORTHO","D",0.0134,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09092019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-09 11:45:00,"7723-14-0","T",0.0275,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","Chlorophyll A",2019-09-25 13:00:00,"479-61-8","T",1.42,"ug/l",NA,"ug/l",0.16,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","Nitrate+Nitrite as Nitrogen",2019-09-25 13:00:00,"NO3NO2N","T",0.304,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","Nitrogen",2019-09-25 13:00:00,"7727-37-9","T",0.3,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","Nitrogen, ammonia (As N)",2019-09-25 13:00:00,"7664-41-7","T",0.018,"mg/l",0.003,"mg/l",0.01,"","R","Precision error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-25 13:00:00,"KN","T",0.45,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","NITROGEN, NITRATE (AS N)",2019-09-25 13:00:00,"14797-55-8","T",0.304,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","NITROGEN, NITRITE",2019-09-25 13:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-25 13:00:00,"PDORTHO","D",0.016,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-09252019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-25 13:00:00,"7723-14-0","T",0.0344,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","Chlorophyll A",2019-10-03 12:30:00,"479-61-8","T",0.907,"ug/l",NA,"ug/l",0.045,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","Nitrate+Nitrite as Nitrogen",2019-10-03 12:30:00,"NO3NO2N","T",0.217,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","Nitrogen",2019-10-03 12:30:00,"7727-37-9","T",0.22,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","Nitrogen, ammonia (As N)",2019-10-03 12:30:00,"7664-41-7","T",0.01,"mg/l",0.003,"mg/l",0.01,"","R","Precision error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-03 12:30:00,"KN","T",0.27,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","NITROGEN, NITRATE (AS N)",2019-10-03 12:30:00,"14797-55-8","T",0.217,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","NITROGEN, NITRITE",2019-10-03 12:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-03 12:30:00,"PDORTHO","D",0.0173,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10032019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-03 12:30:00,"7723-14-0","T",0.037,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","Chlorophyll A",2019-10-07 12:00:00,"479-61-8","T",0.921,"ug/l",NA,"ug/l",0.053,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","Nitrate+Nitrite as Nitrogen",2019-10-07 12:00:00,"NO3NO2N","T",0.35,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","Nitrogen",2019-10-07 12:00:00,"7727-37-9","T",0.35,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","Nitrogen, ammonia (As N)",2019-10-07 12:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Precision error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-07 12:00:00,"KN","T",0.45,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","NITROGEN, NITRATE (AS N)",2019-10-07 12:00:00,"14797-55-8","T",0.35,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","NITROGEN, NITRITE",2019-10-07 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-07 12:00:00,"PDORTHO","D",0.0285,"mg/l",0.0049,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10072019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-07 12:00:00,"7723-14-0","T",0.0479,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","Chlorophyll A",2019-10-24 12:30:00,"479-61-8","T",1.1,"ug/l",NA,"ug/l",0.04,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","Nitrate+Nitrite as Nitrogen",2019-10-24 12:30:00,"NO3NO2N","T",0.171,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","Nitrogen",2019-10-24 12:30:00,"7727-37-9","T",0.17,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","Nitrogen, ammonia (As N)",2019-10-24 12:30:00,"7664-41-7","T",0.025,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-24 12:30:00,"KN","T",0.31,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error ; Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","NITROGEN, NITRATE (AS N)",2019-10-24 12:30:00,"14797-55-8","T",0.171,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","NITROGEN, NITRITE",2019-10-24 12:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-24 12:30:00,"PDORTHO","D",0.0138,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-10242019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-24 12:30:00,"7723-14-0","T",0.0303,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","Chlorophyll A",2019-11-04 12:45:00,"479-61-8","T",0.359,"ug/l",NA,"ug/l",0.041,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","Nitrate+Nitrite as Nitrogen",2019-11-04 12:45:00,"NO3NO2N","T",0.448,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","Nitrogen",2019-11-04 12:45:00,"7727-37-9","T",0.45,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","Nitrogen, ammonia (As N)",2019-11-04 12:45:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-04 12:45:00,"KN","T",0.22,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","NITROGEN, NITRATE (AS N)",2019-11-04 12:45:00,"14797-55-8","T",0.448,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","NITROGEN, NITRITE",2019-11-04 12:45:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-04 12:45:00,"PDORTHO","D",0.0177,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11042019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-04 12:45:00,"7723-14-0","T",0.0216,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","Chlorophyll A",2019-11-19 13:00:00,"479-61-8","T",2.77,"ug/l",NA,"ug/l",0.08,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","Nitrate+Nitrite as Nitrogen",2019-11-19 13:00:00,"NO3NO2N","T",0.328,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","Nitrogen",2019-11-19 13:00:00,"7727-37-9","T",0.33,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","Nitrogen, ammonia (As N)",2019-11-19 13:00:00,"7664-41-7","T",0.042,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-19 13:00:00,"KN","T",0.58,"mg/l",0.1,"mg/l",0.1,"","R","Precision error ; Result should be less than the total"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","NITROGEN, NITRATE (AS N)",2019-11-19 13:00:00,"14797-55-8","T",0.328,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","NITROGEN, NITRITE",2019-11-19 13:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-19 13:00:00,"PDORTHO","D",0.0308,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-LISH-2.1","12-LISH-2.1-11192019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-19 13:00:00,"7723-14-0","T",0.079,"mg/l",0.008,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-1.5","12-MOHK-1.5-06202019-W","Bromodichloromethane",2019-06-20 15:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-1.5","12-MOHK-1.5-06202019-W","Bromoform",2019-06-20 15:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
